Año;Cod_Inst;Nombre_Institución;Tipo_Institución;Nombre_sede;Comuna_sede;Nombre_Región;Orden_Geográfico;Cód_Carrera;Carrera_genérica;Nombre_programa;Mención_Especialidad;Horario;Tipo_programa;Area_conocimiento;idgenerocarrera;Tipo_carrera;IngresoDirecto;Año_inicio;NombreCampus;Duración_semestres;Cód_campus;Cód_sede;Título;Grado_académico;Valor_matricula;Valor_arancel;Valor_título;Vacantes;Cód_sies;Pregado_postgrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;7444;Administración pública y similares;Administración Pública;;Diurno;Programa Regular;Administración y Comercio;1010002;Profesional con Licenciatura;Ingreso Directo;1954;Andrés Bello;11;1001001002;1001001;Administrador Público;Licenciatura en Ciencias Políticas y Gubernamentales M/Gestión Pública ó Ciencias Políticas;$149.000;$4.084.400;$75.000;125;I70S1C1J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;27288;Contabilidad, Auditoría y similares;Contador Auditor;;Diurno;Programa Regular;Administración y Comercio;1010004;Profesional con Licenciatura;Ingreso Directo;2013;Andrés Bello;10;1001001002;1001001;Contador Auditor;Licenciado en Sistemas de Información y Control de Gestión;$149.000;$5.156.300;$75.000;65;I70S1C814J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;7420;Ingeniería Comercial;Ingeniería Comercial;Ciencias Económicas o Ciencias de la Administración de Empresas;Diurno;Programa Regular;Administración y Comercio;1010005;Profesional con Licenciatura;Ingreso Directo;1924;Andrés Bello;10;1001001002;1001001;Ingeniero Comercial;Licenciatura en Ciencias Económicas o en Ciencias de la Administración de Empresas;$149.000;$5.749.600;$75.000;360;I70S1C58J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;27287;Ingeniería en Control de Gestión y similares;Ingeniería en Información y Control de Gestión;;Diurno;Programa Regular;Administración y Comercio;1010011;Profesional con Licenciatura;Ingreso Directo;2013;Andrés Bello;10;1001001002;1001001;Ingeniero en Información y Control de Gestión;Licenciado en Sistemas de Información y Control de Gestión;$149.000;$5.156.300;$75.000;135;I70S1C816J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;La Pintana;Región Metropolitana;7;7417;Ingeniería Agronómica;Ingeniería Agronómica;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001007;Profesional con Licenciatura;Ingreso Directo;1915;Sur;10;1001001001;1001001;Ingeniero Agrónomo;Licenciado en Ciencias Agropecuarias;$149.000;$4.773.000;$75.000;150;I70S1C47J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;La Pintana;Región Metropolitana;7;7418;Ingeniería Forestal y similares;Ingeniería Forestal;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001014;Profesional con Licenciatura;Ingreso Directo;1952;Sur;10;1001001001;1001001;Ingeniero Forestal;Licenciado en Ciencias Forestales;$149.000;$4.773.000;$75.000;65;I70S1C45J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;La Pintana;Región Metropolitana;7;7431;Medicina Veterinaria;Medicina Veterinaria;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001004;Profesional con Licenciatura;Ingreso Directo;1915;Sur;10;1001001001;1001001;Médico Veterinario;Licenciado en Ciencias Veterinarias y Pecuarias;$149.000;$4.773.000;$75.000;180;I70S1C157J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;7404;Actuación y similares;Actuación Teatral;;Diurno;Programa Regular;Arte y Arquitectura;1002001;Profesional con Licenciatura;Ingreso Directo;1941;Andrés Bello;10;1001001002;1001001;Actor o Actriz;Licenciado en Artes M/Actuación Teatral;$149.000;$3.756.700;$50.000;23;I70S1C68J1V2;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;7405;Actuación y similares;Diseño Teatral;;Diurno;Programa Regular;Arte y Arquitectura;1002001;Profesional con Licenciatura;Ingreso Directo;1968;Andrés Bello;10;1001001002;1001001;Diseñador Profesional;Licenciado en Artes M/Diseño Teatral;$149.000;$3.756.700;$50.000;25;I70S1C70J1V1;Pregrado
2021;1001;U. DE CHILE;Univ.;Santiago;Santiago;Región Metropolitana;7;7402;Arquitectura;Arquitectura;;Diurno;Programa Regular;Arte y Arquitectura;1002002;Profesional con Licenciatura;Ingreso Directo;1896;Andrés Bello;12;1001001002;1001001;Arquitecto;Licenciado en Arquitectura;$149.000;$4.472.200;$75.000;160;I70S1C3J1V1;Pregrado
