Cód. Institución,Nombre Institución,Año Creación,Tradicional,NombreRector,Direccion,Comuna Casa Central,Region Casa Central,Dirección Web,Años,Acred. Inst. 30 octubre 2020,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Vigencia Desde,Vigencia Hasta,Proceso
1001,U. DE CHILE,1842,Universidades CRUCH,Ennio Vivaldi Véjar,Alameda N 1058, Of. 112,Santiago,Región Metropolitana,www.uchile.cl,7,ACREDITADA,Si,Si,Si,Si,Si,22/12/2018,22/12/2025,Autonoma
1002,PONTIFICIA U. CATÓLICA DE CHILE,1888,Universidades CRUCH,Ignacio Sánchez Díaz,Av. Libertador Bdo. O`higgins Nº 340,Santiago,Región Metropolitana,www.puc.cl,7,ACREDITADA,Si,Si,Si,Si,Si,01/12/2018,01/12/2025,Autonoma
1003,U. DE CONCEPCIÓN,1919,Universidades CRUCH,Carlos Saavedra Rubilar,Víctor Lamas Nº 1290,Concepción,Región del Bío-Bío,www.udec.cl,7,ACREDITADA,Si,Si,Si,Si,Si,11/11/2016,11/11/2023,Autonoma
1004,PONTIFICIA U. CATÓLICA DE VALPARAÍSO,1928,Universidades CRUCH,Claudio Elórtegui Raffo,Av. Brasil N 2950,Valparaíso,Región de Valparaíso,www.pucv.cl,6,ACREDITADA,Si,Si,Si,Si,Si,26/11/2015,26/11/2021,Autonoma
1005,U. TÉCNICA FEDERICO SANTA MARÍA,1931,Universidades CRUCH,Darcy Fuenzalida O'Shee,Av. España N° 1680,Valparaíso,Región de Valparaíso,www.usm.cl,6,ACREDITADA,Si,Si,Si,Si,Si,29/12/2016,29/12/2022,Autonoma
1006,U. DE SANTIAGO DE CHILE,1849,Universidades CRUCH,Juan Manuel Zolezzi Cid,Avenida Libertador Bernardo O'Higgins N 3363,Estación Central,Región Metropolitana,www.usach.cl,6,ACREDITADA,Si,Si,Si,Si,Si,02/10/2014,02/10/2020,Autonoma
1007,U. AUSTRAL DE CHILE,1954,Universidades CRUCH,Óscar Galindo Villarroel,Independencia N 641,Valdivia,Región de los Ríos,www.uach.cl,6,ACREDITADA,Si,Si,Si,Si,Si,12/11/2015,12/11/2021,Autonoma
1008,U. CATÓLICA DEL NORTE,1956,Universidades CRUCH,Jorge Tabilo Álvarez,Av. Angamos N° 0610,Antofagasta,Región de Antofagasta,www.ucn.cl,6,ACREDITADA,Si,Si,Si,Si,Si,25/11/2016,25/11/2022,Autonoma
1009,U. DE LA SERENA,1981,Universidades CRUCH,Nibaldo Avilés Pizarro,Benavente 980,La Serena,Región de Coquimbo,www.userena.cl,4,ACREDITADA,Si,Si,Si,Si,No,20/12/2016,20/12/2020,Autonoma
1010,U. DE ATACAMA,1981,Universidades CRUCH,Dr. Celso Arias Mora,Avenida Copayapu  N°485,Copiapó,Región de Atacama,www.uda.cl,3,ACREDITADA,Si,Si,Si,Si,No,17/12/2017,17/12/2020,Autonoma
1011,U. DE VALPARAÍSO,1981,Universidades CRUCH,Aldo Valle Acevedo,Errázuriz  1834,Valparaíso,Región de Valparaíso,www.uv.cl,5,ACREDITADA,Si,Si,Si,Si,Si,25/10/2017,25/10/2022,Autonoma
1012,U. DE ANTOFAGASTA,1981,Universidades CRUCH,Luis Alberto Loyola Morales,Av. Angamos 601,Antofagasta,Región de Antofagasta,www.uantof.cl,5,ACREDITADA,Si,Si,Si,Si,No,15/08/2017,15/08/2022,Autonoma
1013,U. DE LA FRONTERA,1981,Universidades CRUCH,Eduardo Hebel Weiss,Avenida  Francisco Salazar  01145,Temuco,Región de La Araucanía,www.ufro.cl,6,ACREDITADA,Si,Si,Si,Si,Si,28/11/2018,28/11/2024,Autonoma
1014,U. DE MAGALLANES,1981,Universidades CRUCH,Juan Oyarzo Perez,Av.Bulnes 01855,Punta Arenas,Región de Magallanes,www.umag.cl,4,ACREDITADA,Si,Si,Si,Si,No,30/12/2019,30/12/2023,Autonoma
1015,U. DE TALCA,1981,Universidades CRUCH,Alvaro Rojas Marín,1 Poniente N°1141,Talca,Región del Maule,www.utalca.cl,6,ACREDITADA,Si,Si,Si,Si,Si,27/11/2019,27/11/2025,Autonoma
1016,U. GABRIELA MISTRAL,1982,Universidades Privadas,Sergio Mena Jara,Av. Ricardo Lyon 1177,Providencia,Región Metropolitana,www.ugm.cl,NO ACREDITADA ,Autonoma
1017,U. DIEGO PORTALES,1982,Universidades CRUCH,Carlos Peña González,Manuel Rodríguez Sur Nº 415,Santiago,Región Metropolitana,www.udp.cl,5,ACREDITADA,Si,Si,Si,Si,Si,24/10/2018,24/10/2023,Autonoma
1018,U. CENTRAL DE CHILE,1982,Universidades Privadas,Santiago González Larraín,Toesca 1783,Santiago,Región Metropolitana,www.ucentral.cl,4,ACREDITADA,Si,Si,No,Si,No,21/12/2017,21/12/2021,Autonoma
1019,U. DE TARAPACÁ,1982,Universidades CRUCH,EMILIO RODRIGUEZ PONCE,General Velásquez # 1775,Arica,Región de Arica y Parinacota,www.uta.cl,5,ACREDITADA,Si,Si,Si,Si,No,22/11/2017,22/11/2022,Autonoma
1020,U. ARTURO PRAT,1984,Universidades CRUCH,Gustavo Soto Bringas,Avenida Arturo Prat Nro 2120,Iquique,Región de Tarapacá,www.unap.cl,4,ACREDITADA,Si,Si,No,Si,No,21/12/2017,21/12/2021,Autonoma
1021,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,1985,Universidades CRUCH,Jaime Espinosa Araya,Av. Jose Pedro Alessandri N 774,Ñuñoa,Región Metropolitana,www.umce.cl,3,ACREDITADA,Si,Si,No,Si,No,30/12/2019,30/12/2022,Autonoma
1022,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,1985,Universidades CRUCH,Patricio Sanhueza Vivanco,Av. Playa Ancha 850,Valparaíso,Región de Valparaíso,www.upla.cl,5,ACREDITADA,Si,Si,No,Si,No,27/09/2016,27/09/2021,Autonoma
1023,U. FINIS TERRAE,1988,Universidades Privadas,Cristian Nazer Astorga,Pedro de Valdivia 1509,Providencia,Región Metropolitana,www.uft.cl,4,ACREDITADA,Si,Si,No,Si,No,19/11/2019,19/11/2023,Autonoma
1024,U. LA REPÚBLICA,1988,Universidades Privadas,Alfredo Romero Licuime,Agustinas 1889,Santiago,Región Metropolitana,www.ularepublica.cl,,NO ACREDITADA,,,,,,,,Autonoma
1025,U. MAYOR,1988,Universidades Privadas,Rubén Covarrubias Giordano,San Pío X 2422,Providencia,Región Metropolitana,www.umayor.cl,5,ACREDITADA,Si,Si,No,Si,No,20/05/2015,20/05/2020,Autonoma
1026,U. ACADEMIA DE HUMANISMO CRISTIANO,1988,Universidades Privadas,Álvaro Ramis Olivos,Ricardo Matte Pérez, 0251,Providencia,Región Metropolitana,www.academia.cl,4,ACREDITADA,Si,Si,No,Si,No,20/12/2017,20/12/2021,Autonoma
1027,U. BOLIVARIANA,1988,Universidades Privadas,HORACIO RIOS DOMIC,Huérfanos 1721,Santiago,Región Metropolitana,www.ubolivariana.cl,,NO ACREDITADA,,,,,,,,Autonoma
1028,U. DEL BÍO-BÍO,1988,Universidades CRUCH,Mauricio Cataldo Monsalves,Av. Collao Nº 1202,Concepción,Región del Bío-Bío,www.ubiobio.cl,5,ACREDITADA,Si,Si,Si,Si,Si,28/08/2019,28/08/2024,Autonoma
1029,U. DE LAS AMÉRICAS,1989,Universidades Privadas,María Pilar Armanet Armanet,Av. Manuel Montt N° 948,Providencia,Región Metropolitana,www.uamericas.cl,4,ACREDITADA,Si,Si,No,No,No,17/03/2019,17/03/2023,Autonoma
1030,U. ADOLFO IBÁÑEZ,1988,Universidades Privadas,Harlad Beyer,Avenida Diagonal Las Torres 2640,Peñalolén,Región Metropolitana,www.uai.cl,5,ACREDITADA,Si,Si,Si,Si,Si,18/11/2015,18/11/2020,Autonoma
1031,U. ANDRÉS BELLO,1989,Universidades Privadas,Julio Castro Sepúlveda,Av. República N° 237,Santiago,Región Metropolitana,www.unab.cl,5,ACREDITADA,Si,Si,Si,Si,No,24/12/2017,24/12/2022,Autonoma
1032,U. DE ARTE Y CIENCIAS SOCIALES ARCIS,1989,Universidades Privadas,Elisa María Isabel Neumann García,Libertad N° 53,Santiago,Región Metropolitana,www.uarcis.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
1033,U. ADVENTISTA DE CHILE,1990,Universidades Privadas,Mauricio Segundo Comte Donoso,Campus Las Mariposas Km. 12 Chillán,Chillán,Región de Ñuble,www.unach.cl,4,ACREDITADA,Si,Si,No,Si,No,14/01/2019,14/01/2023,Autonoma
1034,U. DEL DESARROLLO,1990,Universidades Privadas,Federico Valdés Lafontaine,Ainavillo # 456,Concepción,Región del Bío-Bío,www.udd.cl,5,ACREDITADA,Si,Si,Si,Si,No,15/12/2016,15/12/2021,Autonoma
1035,U. SAN SEBASTIÁN,1989,Universidades Privadas,Carlos Williamson Benaprés,Bellavista 7,Recoleta,Región Metropolitana,www.uss.cl,5,ACREDITADA,Si,Si,No,Si,No,13/09/2016,13/09/2021,Autonoma
1037,U. AUTÓNOMA DE CHILE,1990,Universidades Privadas,Teodoro Ribera Neumann,Av. Alemania 01090,Temuco,Región de La Araucanía,www.uautonoma.cl,4,ACREDITADA,Si,Si,Si,Si,No,29/10/2019,29/10/2023,Autonoma
1038,U. DE ACONCAGUA,1989,Universidades Privadas,BERNARDINO SANCHEZ VERA,Antonio Bellet 444, oficina 1401,Providencia,Región Metropolitana,www.uac.cl,,NO ACREDITADA,,,,,,,,Autonoma
1040,U. DE LOS ANDES,1990,Universidades CRUCH,José Antonio Guzmán Cruzat,Monseñor Alvaro del Portillo 12455, Las Condes,Las Condes,Región Metropolitana,www.uandes.cl,5,ACREDITADA,Si,Si,Si,Si,Si,13/12/2017,13/12/2022,Autonoma
1041,U. DEL PACÍFICO,1990,Universidades Privadas,Georg Spee Gaona,Av. Las Condes 11121,Las Condes,Región Metropolitana,www.upacifico.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
1042,U. BERNARDO O`HIGGINS,1990,Universidades Privadas,Claudio Ruff Escobar,Av. Viel N 1497,Santiago,Región Metropolitana,www.ubo.cl,4,ACREDITADA,Si,Si,No,Si,No,23/07/2018,23/07/2022,Autonoma
1043,U. CATÓLICA CARDENAL RAÚL SILVA HENRÍQUEZ,1992,Universidades Privadas,Galvarino Jofré Araya,General Jofre, 462,Santiago,Región Metropolitana,www.ucsh.cl,4,ACREDITADA,Si,Si,No,No,No,29/11/2016,29/11/2020,Autonoma
1044,U. DE VIÑA DEL MAR,1990,Universidades Privadas,Carlos Isaac Palyi,Avenida Agua Santa 7055 - Rodelillo,Viña del Mar,Región de Valparaíso,www.uvm.cl,3,ACREDITADA,Si,Si,No,No,No,09/12/2019,09/12/2022,Autonoma
1045,U. PEDRO DE VALDIVIA,1989,Universidades Privadas,Rafael Rosell Aiquel,Vicuña Mackenna 44,Providencia,Región Metropolitana,www.upv.cl,,NO ACREDITADA,,,,,,,,Autonoma
1046,U. SANTO TOMÁS,1990,Universidades Privadas,María Olivia Recart Herrera,Av. Ejército Nº 146, Santiago,Santiago,Región Metropolitana,www.ust.cl,3,ACREDITADA,Si,Si,No,No,No,09/12/2017,09/12/2020,Autonoma
1047,U. SEK,1990,Universidades Privadas,EVA FLANDES AGUILERA,Fernando Manterola 0789,Providencia,Región Metropolitana,www.usek.cl,,NO ACREDITADA,,,,,,,,Autonoma
1048,U. DE ARTES, CIENCIAS Y COMUNICACIÓN UNIACC,1991,Universidades Privadas,Fernando de la Jara Goyeneche,Av. Salvador N 1200,Providencia,Región Metropolitana,www.uniacc.cl,3,ACREDITADA,Si,Si,No,No,No,08/01/2020,08/01/2023,Autonoma
1049,U. CATÓLICA DEL MAULE,1991,Universidades CRUCH,Diego Pablo Durán Jara,Av. San Miguel número 3605,Talca,Región del Maule,www.ucm.cl,5,ACREDITADA,Si,Si,No,Si,No,24/06/2015,24/06/2020,Autonoma
1050,U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,1991,Universidades CRUCH,Christian Schmitz Vaccaro,Alonso de Ribera 2850, Concepcion,Concepción,Región del Bío-Bío,www.ucsc.cl,4,ACREDITADA,Si,Si,No,Si,No,15/11/2016,15/11/2020,Autonoma
1051,U. TECNOLÓGICA DE CHILE INACAP,1992,Universidades Privadas,Luis Eduardo Prieto Fernández de Castro,Av. Vitacura 10.151,Vitacura,Región Metropolitana,www.utecnologica.cl,3,ACREDITADA,Si,Si,No,Si,No,27/11/2018,27/11/2021,Autonoma
1052,U. CATÓLICA DE TEMUCO,1959,Universidades CRUCH,Dr. Aliro Bórquez Ramírez,Rudecindo Ortega 03694,Temuco,Región de La Araucanía,www.uctemuco.cl,5,ACREDITADA,Si,Si,Si,Si,No,16/07/2019,16/07/2024,Autonoma
1054,U. TECNOLÓGICA METROPOLITANA,1993,Universidades CRUCH,Luis Pinto Faverio,Dieciocho N° 161,Santiago,Región Metropolitana,www.utem.cl,4,ACREDITADA,Si,Si,No,Si,No,30/12/2016,30/12/2020,Autonoma
1055,U. DE LOS LAGOS,1993,Universidades CRUCH,Oscar Garrido Álvarez,Lord Cochrane 1046,Osorno,Región de Los Lagos,www.ulagos.cl,4,ACREDITADA,Si,Si,No,Si,No,12/12/2016,12/12/2020,Autonoma
1056,U. IBEROAMERICANA DE CIENCIAS Y TECNOLOGÍA,1991,Universidades Privadas,Administrador de Cierre,Padre Miguel de Olivares 1620 esquina Dieciocho,Santiago,Región Metropolitana,http://www.uibero.cl/,,NO ACREDITADA,,,,,,,,Proceso Cierre
1057,U. ALBERTO HURTADO,1997,Universidades CRUCH,Eduardo Silva S.J.,Almirante Barroso 10,Santiago,Región Metropolitana,www.uahurtado.cl,4,ACREDITADA,Si,Si,Si,Si,Si,18/12/2019,18/12/2023,Autonoma
1058,U. MIGUEL DE CERVANTES,1997,Universidades Privadas,Gutenberg Martinez Ocamica,Mac-Iver N 370,Santiago,Región Metropolitana,www.umcervantes.cl,s/i,ACREDITADA,Si,Si,No,No,No,s/i,s/i,Autonoma
1066,U. CHILENO-BRITÁNICA DE  CULTURA,2006,Universidades Privadas,María Cristina Brieba,Santa Lucía 124,Santiago,Región Metropolitana,www.ubritanica.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
1067,U. LOS LEONES,1990,Universidades Privadas,Fernando Jaime Vicencio Silva,Zenteno 234,Santiago,Región Metropolitana,www.uleones.com,,NO ACREDITADA,,,,,,,,Autonoma
1069,U. DE AYSEN,2015,Universidades CRUCH,Natacha Pino Acuña,Obispo Vielmo 62, Coyhaique,Coyhaique,Región de Aysén,http://www.uaysen.cl/,,NO ACREDITADA,,,,,,,,Autonoma
1070,U. DE O`HIGGINS,2015,Universidades CRUCH,Rafael Correa,Avenida Bernardo O´Higgins 609 (ex 611) Rancagua,Rancagua,Región del Gral. B. O`Higgins,www.uoh.cl,,NO ACREDITADA,,,,,,,,Autonoma
2002,I.P. AGRARIO ADOLFO MATTHEI,1981,Institutos Profesionales,Sonia Andrea  Mora Sotomayor,AVENIDA RENE SORIANO 2615, OSORNO,Osorno,Región de Los Lagos,www.amatthei.cl,4,ACREDITADA,Si,Si,No,No,No,30/12/2019,30/12/2023,Autonoma
2003,I.P. INACAP,1981,Institutos Profesionales,Luis Eduardo Prieto Fernández de Castro,Av. Vitacura 10.151,Vitacura,Región Metropolitana,www.inacap.cl,6,ACREDITADA,Si,Si,No,No,No,11/12/2016,11/12/2022,Autonoma
2004,I.P. CS. DE LA COMPUTACIÓN ACUARIO DATA,1993,Institutos Profesionales,Patricio Santelices Escala,Condel 1438 Of. 306,Providencia,Región Metropolitana,www.ipcc.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
2005,I.P. ESC. DE CONTADORES AUDITORES DE STGO.,1982,Institutos Profesionales,Rodrigo Cerón Prandi,Providencia 2640 Tercer Piso,Santiago,Región Metropolitana,www.ecas.cl,4,ACREDITADA,Si,Si,No,No,No,28/08/2019,28/08/2023,Autonoma
2006,I.P. DE ARTES Y COMUNICACIÓN ARCOS,1982,Institutos Profesionales,José Sanfuentes Palma,Avda. Grecia nº 8991,Peñalolén,Región Metropolitana,www.arcos.cl,4,ACREDITADA,Si,Si,No,No,No,02/12/2016,02/12/2020,Autonoma
2007,I.P. GUILLERMO SUBERCASEAUX,1982,Institutos Profesionales,Lucía Pardo Vásquez,Agustinas N 1476, Piso 10,Santiago,Región Metropolitana,www.isubercaseaux.cl,5,ACREDITADA,Si,Si,No,No,No,17/12/2017,17/12/2022,Autonoma
2008,I.P. LIBERTADOR DE LOS ANDES,1982,Institutos Profesionales,José Eduardo Alberto Lazcano Lemus,OHiggins N 197,Los Andes,Región de Valparaíso,www.ipla.cl,,NO ACREDITADA,,,,,,,,Autonoma
2010,I.P. CHILENO BRITÁNICO,1983,Institutos Profesionales,Jaime Correa,Santa Lucía 202,Santiago,Región Metropolitana,youtu.be/oHg5SJYRHA0,,NO ACREDITADA,,,,,,,,Licenciamiento
2011,I.P. PROVIDENCIA,1983,Institutos Profesionales,Rodrigo Angulo Gómez-Marañón,Avenida Vicuña Mackenna 380,Providencia,Región Metropolitana,www.ipp.cl,,NO ACREDITADA,,,,,,,,Autonoma
2012,I.P. DUOC UC,1983,Institutos Profesionales,Bernardo Domínguez Covarrubias,Eliodoro Yáñez 1595,Providencia,Región Metropolitana,www.duoc.cl,7,ACREDITADA,Si,Si,No,Si,No,26/08/2017,26/08/2024,Autonoma
2013,I.P. IPEGE,1984,Institutos Profesionales,RICARDO SOBARZO ZAMBRANO,Fidel Oteiza #1975 Providencia, Santiago.,Providencia,Región Metropolitana,www.ipg.cl,3,ACREDITADA,Si,Si,No,No,No,25/08/2018,25/08/2021,Autonoma
2014,I.P. ESCUELA MODERNA DE MÚSICA,1989,Institutos Profesionales,Vivien Wurman Schapiro,Avenida Luis Pasteur 5303,Vitacura,Región Metropolitana,www.emoderna.cl,4,ACREDITADA,Si,Si,No,No,No,20/12/2016,20/12/2020,Autonoma
2015,I.P. IACC,1988,Institutos Profesionales,RAYMOND ROSAL,Avda. El Salvador N° 1318,Providencia,Región Metropolitana,www.iacc.cl,2,ACREDITADA,Si,Si,No,No,No,09/10/2019,09/10/2021,Autonoma
2016,I.P. SANTO TOMÁS,1988,Institutos Profesionales,Juan Pablo Guzman Aldunate,Vicuña Mackenna #4835,San Joaquín,Región Metropolitana,www.santotomas.cl,3,ACREDITADA,Si,Si,No,No,No,26/11/2017,26/11/2020,Autonoma
2018,I.P. DIEGO PORTALES,1988,Institutos Profesionales,Luis Beltrán Troncoso,Maipú Número 301,Concepción,Región del Bío-Bío,www.dportales.cl,,NO ACREDITADA,,,,,,,,Autonoma
2019,I.P. DEL VALLE CENTRAL,1988,Institutos Profesionales,Héctor Valencia Bringas,Barros Arana, 160,Concepción,Región del Bío-Bío,www.vallecentral.cl,,NO ACREDITADA,,,,,,,,Autonoma
2020,I.P. VIRGINIO GÓMEZ,1989,Institutos Profesionales,René Lagos Cuitiño,avenida Arturo Prat N° 196,Concepción,Región del Bío-Bío,www.virginiogomez.cl,3,ACREDITADA,Si,Si,No,No,No,18/12/2017,18/12/2020,Autonoma
