Año;Cod_Inst;Nombre_Institución;Tipo_Institución;Clasificación1;Clasificación2;Clasificación3;Clasificación4;Clasificación5;Nombre_sede;Comuna_sede;Nombre_Región;Orden_Geográfico;Cód_Carrera;Carrera_genérica;Nombre_programa;Mención_Especialidad;Horario;Tipo_programa;Area_conocimiento;idgenerocarrera;Tipo_carrera;IngresoDirecto;Año_inicio;NombreCampus;Duración_semestres;Cód_campus;Cód_sede;Título;Grado_académico;Máximo_puntaje_psu_prom_math_leng;Promedio_pje_psu_prom_math_leng;Mínimo_puntaje_psu_prom_math_leng;Puntaje_corte_primerselec;Puntaje_corte_promcarrera;Puntaje_corte_ultselec;Máximo_pje_nem;Promedio_pje_nem;Mínimo_pje_nem;Máximo_pje_ranking;Promedio_pje_ranking;Mínimo_pje_ranking;Número_alumnos_ingreso_psu;Número_alumnos_otro_ingreso;Valor_matricula;Valor_arancel;Valor_título;Vacantes;Matrícula_primer_año_hombres;Matrícula_primer_año_mujeres;Matrícula_primer_año_extranjero;Matrícula_primer_año;Matrícula_total_hombres;Matrícula_total_mujeres;Matrícula_total_extranjero;Matrícula_total;Matrícula_total_cohorte_año_anterior;Cód_sies;Pregado_postgrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7444;Administración pública y similares;Administración Pública;;Diurno;Programa Regular;Administración y Comercio;1010002;Profesional con Licenciatura;Ingreso Directo;1954;Andrés Bello;11;1001001002;1001001;Administrador Público;Licenciatura en Ciencias Políticas y Gubernamentales M/Gestión Pública ó Ciencias Políticas;756;621;466;788;692;648;813;695;568;850;745;569;129;14;144000;3607900;75000;125;53;90;2;143;274;380;6;654;;I70S1C1J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;27288;Contabilidad, Auditoría y similares;Contador Auditor;;Diurno;Programa Regular;Administración y Comercio;1010004;Profesional con Licenciatura;Ingreso Directo;2013;Andrés Bello;10;1001001002;1001001;Contador Auditor;Licenciado en Sistemas de Información y Control de Gestión;733;627;514;776;675;651;803;691;544;850;742;544;82;8;144000;4982000;75000;65;44;46;3;90;160;170;7;330;;I70S1C814J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7420;Ingeniería Comercial;Ingeniería Comercial;Ciencias Económicas o Ciencias de la Administración de Empresas;Diurno;Programa Regular;Administración y Comercio;1010005;Profesional con Licenciatura;Ingreso Directo;1924;Andrés Bello;10;1001001002;1001001;Ingeniero Comercial;Licenciatura en Ciencias Económicas o en Ciencias de la Administración de Empresas;815;685;567;824;713;687;830;712;570;850;739;575;382;106;144000;5555200;75000;360;268;220;8;488;1528;980;40;2508;;I70S1C58J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;27287;Ingeniería en Control de Gestión y similares;Ingeniería en Información y Control de Gestión;;Diurno;Programa Regular;Administración y Comercio;1010011;Profesional con Licenciatura;Ingreso Directo;2013;Andrés Bello;10;1001001002;1001001;Ingeniero en Información y Control de Gestión;Licenciado en Sistemas de Información y Control de Gestión;757;643;517;798;680;655;823;690;565;850;731;564;156;7;144000;4982000;75000;130;87;76;5;163;356;339;13;695;;I70S1C816J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;La Pintana;Región Metropolitana;7;7417;Ingeniería Agronómica;Ingeniería Agronómica;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001007;Profesional con Licenciatura;Ingreso Directo;1915;Sur;10;1001001001;1001001;Ingeniero Agrónomo;Licenciado en Ciencias Agropecuarias;709;607;477;744;633;600;830;632;446;850;665;451;112;16;144000;4611600;75000;150;80;48;1;128;420;302;1;722;;I70S1C47J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;La Pintana;Región Metropolitana;7;7418;Ingeniería Forestal y similares;Ingeniería Forestal;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001014;Profesional con Licenciatura;Ingreso Directo;1952;Sur;10;1001001001;1001001;Ingeniero Forestal;Licenciado en Ciencias Forestales;671;600;473;711;637;601;798;636;506;850;670;517;64;6;144000;4611600;75000;80;36;34;0;70;198;211;3;409;;I70S1C45J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;La Pintana;Región Metropolitana;7;7431;Medicina Veterinaria;Medicina Veterinaria;;Diurno;Programa Regular;Agricultura, Silvicultura, Pesca y Veterinaria;1001004;Profesional con Licenciatura;Ingreso Directo;1915;Sur;10;1001001001;1001001;Médico Veterinario;Licenciado en Ciencias Veterinarias y Pecuarias;755;642;560;751;658;632;803;679;506;850;721;507;175;14;144000;4611600;75000;180;51;138;4;189;355;955;11;1310;;I70S1C157J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7404;Actuación y similares;Actuación Teatral;;Diurno;Programa Regular;Arte y Arquitectura;1002001;Profesional con Licenciatura;Ingreso Directo;1941;Andrés Bello;10;1001001002;1001001;Actor o Actriz;Licenciado en Artes M/Actuación Teatral;707;630;570;766;671;606;809;681;538;836;705;538;24;;144000;3388400;50000;23;6;18;0;24;34;76;0;110;;I70S1C68J1V2;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7405;Actuación y similares;Diseño Teatral;;Diurno;Programa Regular;Arte y Arquitectura;1002001;Profesional con Licenciatura;Ingreso Directo;1968;Andrés Bello;10;1001001002;1001001;Diseñador Profesional;Licenciado en Artes M/Diseño Teatral;678;594;466;742;651;606;782;655;544;850;696;544;23;;144000;3388400;50000;23;3;20;0;23;12;85;0;97;;I70S1C70J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7402;Arquitectura;Arquitectura;;Diurno;Programa Regular;Arte y Arquitectura;1002002;Profesional con Licenciatura;Ingreso Directo;1896;Andrés Bello;12;1001001002;1001001;Arquitecto;Licenciado en Arquitectura;744;632;486;772;669;638;803;686;548;850;726;562;239;18;144000;4321000;75000;160;108;149;7;257;546;784;18;1330;;I70S1C3J1V1;Pregrado
